SMILES
COC(=O)CC(O)(O)C(F)(F)C(F)F
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=C(S1)C1=CC=CS1
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](CC=C)(CC=C)CC=C
CN(C)CC(OCO)C(OC=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1CCCCCC1
CC=CC(O)(C(F)(F)F)C(F)(F)F
CC(=C)C1=CC=CC=C1CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
OC(=O)C(F)(Cl)C(F)(F)C(F)(F)F
FC(=O)C(F)(F)OC(F)(F)OC(F)(F)F
FC1=NC(=NC(=N1)C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F
CC1=CC(=CC(C)=C1C1=CN(N=C1)C1=CC(C(O)=O)=C(Cl)C=C1)C(F)(C(F)(F)F)C(F)(F)F
C[N+](C)(C)CC(O)CC(F)(F)C(F)(F)F
FC(F)(F)C(C(=S)C(F)(F)C(F)(F)F)C(F)(F)F
FC(=O)C(F)(F)OC(F)(F)F
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCC=O
COC(=O)C(F)(F)C(F)(F)C(=O)OC
OP(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
OC(=O)COC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F
FC(F)C(F)(F)COC(=O)C=C
OCC(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)F
[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)C=C
FC1C2=C(C(F)=C(F)C(F)=C2F)C(F)(F)C1(F)F
C[Si](C)(C)C(F)(F)C(F)(F)F
FC(F)(F)N1C(F)(F)OC(F)(F)C1(F)Br
FC(F)(Cl)C(F)(F)C(F)(Cl)Cl
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C=O
C[N+](C)(CCO)CC(O)CNS(=O)(=O)C(F)(F)C(F)(F)F
FC(F)C(F)(F)C(Cl)Br
FC(F)(F)CSSC(F)(F)C(F)(F)F
[O-]S(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
FC(F)C(F)(F)OC1=CC=C(C=O)C=C1
FC(F)(F)C(F)(F)C(F)(F)CC1CO1
FC(F)(CCN=[N+]=[N-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCN=[N+]=[N-]
CCOC(O)C(F)(F)C(F)(F)C(F)(F)F
FC(F)(F)C(F)(F)C(F)(F)C=CI
CNC1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
FC(F)(F)C(F)(F)C(F)(F)OC(F)(F)[C@@](F)(OC(F)(F)C(F)(F)C(F)(F)F)[C@@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F
OC(=O)CCC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F
FC(F)(F)C(F)(F)C(F)(F)C(=O)CC(=O)C1=CC=C(C=C1)C1=C(C=C(C=C1)S(Cl)(=O)=O)C1=CC=C(C=C1)C(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F
FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(F)C(F)(F)CC[Si](Cl)(Cl)Cl
CC(C(O)C1=CC=C(Cl)C=C1)C(O)(C(F)(F)F)C(F)(F)F
FC(F)(F)C(F)(F)C(F)(F)OC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)F)C1(F)F
NCCCSC(F)(F)C(F)(F)F
FC1(F)CC(F)(F)O1
CC1=CC2=C(C=C1)[I](Cl)OC2(C(F)(F)F)C(F)(F)F
[O-][N+](=O)C(F)(F)COC(F)(F)C(F)C(F)(F)F
[O-][N+](=O)C1=CC=CC=C1S(=O)(=O)OCC(F)(F)C(F)F
CCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl
OC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F
FC(=CCC(F)(F)C(F)(F)F)C(F)(F)CCC(F)(F)C(F)(F)F
CCCCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(C)F
OC(CBr)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
[O-]S(=O)(=O)C1=CC=C(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
FC(F)(F)C1(F)OC(F)(F)C(F)(OC1(F)F)C(F)(F)F
CCN(CCOC(=O)NC1=CC(NC(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)F)=C(C)C=C1)S(=O)(=O)C(F)(F)C(F)(F)F
CCC(C)=NO[Si](C)(OCCNS(=O)(=O)C(F)(F)C(F)(F)F)ON=C(C)CC
FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)NCC1=CC=CC=C1
[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
OC(=O)C(F)(F)OC(F)(F)C(F)(F)C(\F)=C(/F)C(F)(F)F
FC(F)=C(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F
FC(F)(C1=NNN=N1)C(F)(F)C(F)(F)C1=NNN=N1
