dataset,subtask,set,num_of_retained_feature,num_of_compounds,C,gamma,rmse,r2,mae
BCF1859_RDKit,logBCF,tr,79,1859,3.1744523453184903,0.08389650351000799,0.5031194536737952,0.8721673003248219,0.30743204806770713
BCF1859_RDKit,logBCF,va,79,1859,3.1744523453184903,0.08389650351000799,0.7193815658490051,0.742216273803149,0.5413650580677858
BCF1859_RDKit,logBCF,te,79,1859,3.1744523453184903,0.08389650351000799,0.7713287055395915,0.686023710869748,0.5576515533639783
