dataset,subtask,set,num_of_retained_feature,num_of_compounds,n_estimators,max_depth,min_samples_leaf,min_impurity_decrease,max_features,rmse,r2,mae
BCF1859_RDKit,logBCF,tr,79,1859,500,11,1,0.0021867227295805244,log2,0.5486048925564141,0.8480085726951195,0.43278854749355683
BCF1859_RDKit,logBCF,va,79,1859,500,11,1,0.0021867227295805244,log2,0.7680075815005452,0.7061891011145514,0.5982582411413232
BCF1859_RDKit,logBCF,te,79,1859,500,11,1,0.0021867227295805244,log2,0.769492340445677,0.6875169490803413,0.5890301865124389
