dataset,subtask,set,num_of_retained_feature,num_of_compounds,alpha,hidden_layer_sizes,learning_rate,activation,rmse,r2,mae
BCF1859_RDKit,logBCF,tr,79,1859,2.5678132118631125,"(50, 100, 200)",invscaling,relu,0.6903942472621147,0.7592900357187236,0.5210032256775946
BCF1859_RDKit,logBCF,va,79,1859,2.5678132118631125,"(50, 100, 200)",invscaling,relu,0.7500725054059031,0.7197514463245884,0.5910255936348117
BCF1859_RDKit,logBCF,te,79,1859,2.5678132118631125,"(50, 100, 200)",invscaling,relu,0.8196333558821581,0.6454666354851316,0.6227291634691597
