Model: SVM ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
acc,0.8495333644423706,0.0024167262311640065,0.7264150943396226,0.015384184326169668,0.7343396226415094,0.0177358490566038
auc_roc,0.9181778683051303,0.0027582265155128203,0.7797540820237903,0.015172752861740713,0.7951393875426179,0.02201615389460682
recall,0.8570337213821351,0.004891230742008172,0.7444107725597047,0.04027011146378784,0.7458632018704778,0.02205752398967057
precision,0.8538005087622302,0.0033111004450298905,0.7367595175741559,0.017061551321728253,0.7383912286989583,0.02748902712154014
f1,0.8554021644124795,0.00269498213837186,0.7397736804307062,0.0192843006533649,0.7416637118413165,0.01718036063091608
kappa,0.6985521141697693,0.0048415187139398495,0.45140547348241694,0.030012034545512645,0.46828562340165353,0.035465267163409156
mcc,0.6985787114394021,0.004840707754132692,0.4525125417850454,0.030014423059180687,0.4688938361691942,0.035493092632038134
auc_prc,0.918299695123768,0.003651188544498626,0.7663147621805649,0.026967447506075604,0.7772368767593891,0.038337561551092754
