Model: MLP ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
acc,0.9657489500699953,0.0015434284095698757,0.7775681341719077,0.01910979377898863,0.779245283018868,0.017558324715670717
auc_roc,0.9962019648391287,0.0004006410215949834,0.8574919718551955,0.01858356454296461,0.8593592603581788,0.014462771992833546
recall,0.9661112527808606,0.014454128887361086,0.7941320027987989,0.04923937999987846,0.7988537405731204,0.04691027468746983
precision,0.9681993935043801,0.01195578858615146,0.7854754882149625,0.030530996613561852,0.7769892910374595,0.023018881327934185
f1,0.9669749129038729,0.0018152397421047222,0.7883056865210198,0.023522975713728602,0.7866533407244272,0.022789891691997688
kappa,0.9313972062706839,0.0030447492379977524,0.5542910796559758,0.03705922380062755,0.5575020365043883,0.03444036960119297
mcc,0.9317660358381143,0.0027521584290451937,0.5565530910112904,0.03662890609120604,0.5594390729341953,0.033599447430867076
auc_prc,0.9966010037729143,0.0003416776415775184,0.8616412448035147,0.02665590434406303,0.8547467906168187,0.023975305400458297
