Model: XGB ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
acc,0.9555762949136725,0.014786236963588186,0.7884696016771489,0.022116158419925327,0.7888679245283019,0.009856571989893564
auc_roc,0.9927321071558135,0.0058821769533541615,0.8706915757240139,0.016617216032155935,0.8721919882267535,0.010272064455307258
recall,0.9549327706869409,0.01423106771515678,0.7985925275658172,0.040228235217051746,0.8119580775221051,0.019891153166837556
precision,0.9594186353390164,0.01401977274530362,0.7980688392159832,0.022847857999028547,0.7834820162611988,0.023075567892669797
f1,0.9571693859918364,0.014090387707240524,0.7977381329166903,0.02470534139963495,0.7970969666199774,0.013335970338762757
kappa,0.9110256492593483,0.02964004697859134,0.5758039559181729,0.044151235336911315,0.577030465789367,0.018984069126868914
mcc,0.9110385021075771,0.02963951414450747,0.5767183383421692,0.04405701186941148,0.578004659387602,0.018618196374402034
auc_prc,0.9936067483464569,0.005057893114584017,0.8788714728580811,0.019550890613325846,0.8749443901334748,0.019067189607632533
