Model: LGB ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
acc,0.8840410639290714,0.0033584795549130323,0.7542976939203354,0.020685780098187036,0.7473584905660378,0.016906544788187053
auc_roc,0.9545132559875886,0.0018762486768397987,0.837140033648609,0.018412469097566265,0.8294928066784761,0.017053523051164556
recall,0.8952187644386056,0.0050204681210992445,0.7731799437644736,0.03483077912695007,0.7654070166452891,0.023361180759324286
precision,0.8831086964818067,0.0034083583692138555,0.7615171754086444,0.028879455455768453,0.7472492144280728,0.027826625664257962
f1,0.8891143820399211,0.0033255510708384466,0.7667802599119681,0.024503458059785963,0.7558264305781739,0.01922326447900589
kappa,0.7675894892718207,0.0067380039580937235,0.5071095642599843,0.040918709323724815,0.4939924397146328,0.0333813395996426
mcc,0.7676842540214893,0.006744628121223157,0.5079966798225769,0.041340936999728115,0.494684255666904,0.033367133421123206
auc_prc,0.9594017301042801,0.0018016401987558113,0.8463673781385456,0.027099075189733323,0.8360080338169593,0.0258656437575195
