Model: XGB ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
acc,0.9717685487634157,0.0013564574758514818,0.7861635220125786,0.018821279402485055,0.7809433962264152,0.01643676730171488
auc_roc,0.9979371778200201,0.0006783108479133733,0.873421784438339,0.0184829258532968,0.8711214111962858,0.01609791220097141
recall,0.970667605929032,0.0020586879336543674,0.8041161320022358,0.02961225363395607,0.8047560380421913,0.025299817328646595
precision,0.974876009017476,0.002126027759662169,0.7909345045196666,0.019490288965110035,0.7759839570389118,0.023859915965949406
f1,0.9727643031742211,0.0012256893369725556,0.7972366718291348,0.0208900216423933,0.7897036476650109,0.016793450999408113
kappa,0.9434593333295892,0.002730998902900081,0.5708431375051924,0.0375217068864019,0.5610655215003153,0.03295531366491179
mcc,0.943474995566881,0.002733540155616769,0.5713085736081572,0.03772817010662777,0.5621095215672596,0.03302083574578008
auc_prc,0.9981491713469177,0.0005661422570462151,0.8790355286423894,0.027349410552996563,0.8779960206548969,0.021218315003352046
