Model: SVM ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
acc,0.9703686420905273,0.0005217144137890315,0.7928721174004193,0.01785789470779611,0.8013207547169812,0.011754277831828315
auc_roc,0.9859327342871277,0.0012316485134378859,0.8605845832418245,0.018955784953908934,0.8693723434273869,0.012004532941120225
recall,0.9699425868262853,0.0013144088431792128,0.8155907699823434,0.028340381491201362,0.8215238297875729,0.023547972022278547
precision,0.9729223288689413,0.0015905168013766668,0.7942924251521035,0.02124353463892386,0.7972242038347594,0.01989828572372655
f1,0.9714282254345725,0.00048457039874489466,0.8045256243956622,0.02020810210279666,0.8087455523537036,0.01068279019297007
kappa,0.9406528391105674,0.001053258331093464,0.5841154430932806,0.03514741477930192,0.6019812772513062,0.023716412536709395
mcc,0.9406616318901225,0.0010575726858205027,0.5847915755039681,0.035114115175226356,0.6030056328991723,0.02361537577728696
auc_prc,0.9854408817393706,0.001507817644671783,0.8540069963241145,0.027155430243863903,0.8614294152109425,0.025723802784755615
