Model: RF ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
acc,0.8065328978068129,0.002967449947845943,0.7348008385744234,0.01624568869271226,0.7369811320754717,0.021148915123323876
auc_roc,0.8954056741449795,0.0019871752236904003,0.8167861146793867,0.012656529321142114,0.8153264199710322,0.014720492474854819
recall,0.8069632292664229,0.005878978473471418,0.7439089623346723,0.03758284215498499,0.7595196225656696,0.02512923481777352
precision,0.8181072977684176,0.004936099056630328,0.7485460791329981,0.017990034823898923,0.7350960144747147,0.024054424985319643
f1,0.8124674227638081,0.002323418998903579,0.7456146673369083,0.020491305082839056,0.7469318162720737,0.021783049640249803
kappa,0.6126827537518246,0.006073463009109991,0.4686037932476081,0.03211369173497507,0.4728788496432498,0.042083111076825754
mcc,0.6127909849415862,0.00611178729556108,0.46944141532620015,0.032092582783791644,0.4733950826812653,0.04209941342801044
auc_prc,0.9055624366528072,0.001935689987501339,0.830870012507057,0.0197197547503856,0.8164909974532744,0.026847076442583672
