Model: MLP ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
acc,0.9159356042930472,0.027211305502197348,0.759958071278826,0.019982236132766725,0.7618867924528302,0.026627180924253802
auc_roc,0.9826521084279539,0.0075756867449404295,0.8287935299632194,0.019520660141976124,0.834445490589124,0.009767668673545194
recall,0.917729149170245,0.0515510991453174,0.7757426972846158,0.07656491771366848,0.76841106481729,0.06406273361909752
precision,0.9266531559745632,0.05720713021335048,0.7736819483417554,0.04206108758151892,0.7745214170142104,0.056681771316341646
f1,0.919345453637718,0.02300623651241154,0.7705397230872308,0.027180274000435264,0.7672031112090171,0.022003334464651192
kappa,0.8314831135680534,0.05538114005131176,0.5179541206658008,0.04144547302454057,0.5236470479584228,0.05162872725616776
mcc,0.8373224816606133,0.048525865241027435,0.524265562924961,0.03608861761706369,0.530075498459279,0.04424867582000947
auc_prc,0.984446087150826,0.006587207452981654,0.8238947241505338,0.03391674642697164,0.8209102511623861,0.025191291543752433
