Model: XGB ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
acc,0.9726318245450305,0.000745522412910427,0.80083857442348,0.020753658148032834,0.7918867924528303,0.014070209952831815
auc_roc,0.9980681032459315,0.0004775698267845803,0.8810996929541564,0.01947683455651176,0.8739729343816544,0.012085018873625218
recall,0.9718797123092449,0.0025310686617271887,0.8112313724568981,0.03618946590171848,0.8140991107646673,0.022531230244035624
precision,0.9753520796206206,0.0028615258919449022,0.8089588760619388,0.021477225866652364,0.7865790863578785,0.02156480536691889
f1,0.9736057276917762,0.000639478246051847,0.8096748514331467,0.0236606355091609,0.7998340413663312,0.016444067895580713
kappa,0.9451869367269016,0.0015079393630491912,0.60057490453343,0.041146572867521526,0.5829596709576388,0.027755256749126333
mcc,0.9452080166102117,0.0015143050459584682,0.6012386238471351,0.04093016295227251,0.5837672563086856,0.027863662601080846
auc_prc,0.9982621824406174,0.00039725850134016816,0.8874996903519585,0.02487689322831936,0.8773091716006063,0.019482524741048782
