Model: RF ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
r2,0.8441600224340695,0.008724918965078977,0.6563886796288024,0.045114238407261024,0.7039225586268889,0.04401913551290705
mae,1.822226994892047,0.037613543785719156,2.5361980246882228,0.20256688441118864,2.480698772053887,0.1674789363025083
rmse,2.5525301555515627,0.07546277983945522,3.7076641694525554,0.3594223977658001,3.527520521126717,0.34856615282713244
