Model: svm ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
rmse ,0.693,0.012,0.907,0.094,0.890,0.076
r2,0.755,0.012,0.591,0.095,0.602,0.055
mae,0.456,0.010,0.654,0.066,0.647,0.049
