Model: rf ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
rmse ,0.745,0.011,0.941,0.081,0.923,0.075
r2,0.716,0.011,0.564,0.066,0.570,0.073
mae,0.572,0.008,0.721,0.060,0.715,0.049
