Model: lgb ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
rmse ,0.716,0.006,0.841,0.071,0.817,0.042
r2,0.739,0.006,0.651,0.054,0.663,0.055
mae,0.538,0.007,0.619,0.050,0.610,0.038
