Model: lgb ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
rmse ,0.762,0.017,0.903,0.074,0.889,0.061
r2,0.704,0.009,0.598,0.062,0.602,0.054
mae,0.573,0.012,0.670,0.051,0.666,0.045
