Model: xgb ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
rmse ,0.644,0.011,0.926,0.078,0.910,0.086
r2,0.789,0.008,0.577,0.066,0.582,0.080
mae,0.477,0.007,0.699,0.054,0.693,0.056
