Model: svm ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
rmse ,0.637,0.015,0.947,0.101,0.919,0.077
r2,0.793,0.009,0.557,0.080,0.575,0.063
mae,0.380,0.006,0.684,0.061,0.675,0.049
