Model: xgb ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
rmse ,0.336,0.071,0.770,0.079,0.765,0.040
r2,0.940,0.026,0.706,0.059,0.703,0.056
mae,0.231,0.052,0.561,0.060,0.561,0.040
