Model: rf ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
rmse ,0.633,0.008,0.840,0.057,0.839,0.051
r2,0.796,0.007,0.651,0.058,0.645,0.054
mae,0.501,0.006,0.649,0.043,0.644,0.038
