Model: mlp ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
rmse ,0.511,0.028,0.840,0.085,0.810,0.051
r2,0.866,0.016,0.650,0.073,0.668,0.060
mae,0.385,0.024,0.619,0.053,0.600,0.044
