Model: mlp ,Train,Tr_STD,Validation,Va_STD,Test,Te_STD
rmse ,0.703,0.032,1.021,0.077,0.982,0.079
r2,0.747,0.024,0.486,0.075,0.512,0.085
mae,0.531,0.029,0.773,0.059,0.744,0.057
